groups	p-value
['PPP2R1A', 'KRAS', 'CTNNB1', 'PIK3R1', 'ACVR2A', 'SPOP', 'ERBB2']	0.9999972662529432
['PPP2R1A', 'KRAS', 'CTNNB1', 'PIK3R1', 'TSC1', 'SOX17']	0.8695120906713524
['PPP2R1A', 'KRAS', 'CTNNB1', 'PIK3R1', 'ATM', 'CCND1']	0.9999771949285537
['PPP2R1A', 'KRAS', 'CTNNB1', 'PIK3R1', 'ATM', 'SPOP']	0.999958155524807
['PPP2R1A', 'KRAS', 'CTNNB1', 'PIK3R1', 'KMT2D', 'SPOP', 'PIK3CA', 'CTCF']	1.0
['PPP2R1A', 'KRAS', 'CTNNB1', 'PIK3R1', 'KMT2D', 'SPOP', 'SOX17']	0.9999999993335338
['PPP2R1A', 'KRAS', 'CTNNB1', 'PIK3R1', 'FLNA', 'SOX17', 'FGFR2']	0.999999605912419
['PPP2R1A', 'KRAS', 'CTNNB1', 'PIK3R1', 'MUC6']	0.39213802427510003
['PPP2R1A', 'KRAS', 'CTNNB1', 'PIK3R1', 'SMARCA4', 'CTCF', 'FBXW7']	0.9999999999428794
['PPP2R1A', 'KRAS', 'CTNNB1', 'PIK3R1', 'KMT2B', 'SPOP', 'FBXW7']	0.9999999995545014
['PPP2R1A', 'KRAS', 'CTNNB1', 'PIK3R1', 'KMT2B', 'SPOP', 'SOX17']	0.9999845581252143
['PPP2R1A', 'KRAS', 'CTNNB1', 'PIK3R1', 'MACF1', 'SPOP', 'PIK3CA']	1.0
['PPP2R1A', 'KRAS', 'CTNNB1', 'PIK3R1', 'MACF1', 'SPOP', 'SOX17']	0.9999585106398915
['PPP2R1A', 'KRAS', 'CTNNB1', 'PIK3R1', 'CHD3', 'SPOP', 'FGFR2', 'FBXW7']	0.9999999999999954
['PPP2R1A', 'KRAS', 'CTNNB1', 'PIK3R1', 'CHD3', 'SPOP', 'FGFR2', 'SOX17']	0.9999999999999973
['PPP2R1A', 'KRAS', 'CTNNB1', 'PIK3R1', 'HUWE1', 'FBXW7', 'SPOP']	0.9999995572650915
['PPP2R1A', 'KRAS', 'CTNNB1', 'PIK3R1', 'CIC', 'FBXW7', 'SPOP', 'PGR']	0.9999999930494037
['PPP2R1A', 'KRAS', 'CTNNB1', 'PIK3R1', 'CIC', 'FBXW7', 'SPOP', 'FGFR2']	0.9999999999999994
['PPP2R1A', 'KRAS', 'CTNNB1', 'PIK3R1', 'RPL22', 'SMC1A', 'FBXW7', 'ARID5B']	0.9999999999854146
['PPP2R1A', 'KRAS', 'CTNNB1', 'PIK3R1', 'RPL22', 'ERBB4']	0.9999474147208002
['PPP2R1A', 'KRAS', 'CTNNB1', 'PIK3R1', 'RPL22', 'FLT3']	0.9997507255021334
['PPP2R1A', 'KRAS', 'CTNNB1', 'PIK3R1', 'RPL22', 'DMD', 'PIK3CA']	1.0
['PPP2R1A', 'KRAS', 'CTNNB1', 'PIK3R1', 'RPL22', 'DMD', 'SOX17']	0.9999983159753479
['PPP2R1A', 'KRAS', 'CTNNB1', 'PIK3R1', 'RPL22', 'APC', 'SOX17']	0.9999627857975681
['PPP2R1A', 'KRAS', 'CTNNB1', 'PIK3R1', 'RPL22', 'ZMYM3', 'FGFR2']	0.9999999999984718
['PPP2R1A', 'KRAS', 'CTNNB1', 'PIK3R1', 'RPL22', 'KIF1A', 'FBXW7']	0.9999999801104932
['PPP2R1A', 'KRAS', 'CTNNB1', 'PIK3R1', 'RPL22', 'SPOP', 'SOX17', 'KMT2C']	0.9999999999999994
['PPP2R1A', 'KRAS', 'CTNNB1', 'PIK3R1', 'RPL22', 'SPOP', 'SOX17', 'PDS5B']	0.9999999974793933
['PPP2R1A', 'KRAS', 'CTNNB1', 'PIK3R1', 'RPL22', 'SPOP', 'SOX17', 'ARID5B', 'FGFR2']	0.9999999999999993
['PPP2R1A', 'KRAS', 'CTNNB1', 'PIK3R1', 'RPL22', 'SPOP', 'MTOR']	0.9999997669930013
['PPP2R1A', 'KRAS', 'CTNNB1', 'PIK3R1', 'RPL22', 'SPOP', 'NF1']	0.9999999964085914
['PPP2R1A', 'KRAS', 'CTNNB1', 'PIK3R1', 'RPL22', 'SPOP', 'FBXW7', 'CTCF', 'PIK3CA', 'ZMYM2']	1.0
['PPP2R1A', 'KRAS', 'CTNNB1', 'PIK3R1', 'RPL22', 'SPOP', 'FBXW7', 'PDS5B']	0.9999999999996866
['PPP2R1A', 'KRAS', 'CTNNB1', 'PIK3R1', 'RPL22', 'SPOP', 'FBXW7', 'KMT2C']	0.9999999999999976
['PPP2R1A', 'KRAS', 'CTNNB1', 'PIK3R1', 'RPL22', 'SPOP', 'FBXW7', 'FGFR2', 'ERBB3']	1.0
['PPP2R1A', 'KRAS', 'CTNNB1', 'PIK3R1', 'RPL22', 'SPOP', 'FBXW7', 'FGFR2', 'PIK3CA', 'MED12']	0.9999999999999981
['PPP2R1A', 'KRAS', 'CTNNB1', 'PIK3R1', 'RPL22', 'SPOP', 'FBXW7', 'FGFR2', 'PLXNB2']	0.9999999999999998
['PPP2R1A', 'KRAS', 'CTNNB1', 'PIK3R1', 'RPL22', 'SPOP', 'FBXW7', 'FGFR2', 'ARID5B']	1.0
['PPP2R1A', 'KRAS', 'CTNNB1', 'PIK3R1', 'RPL22', 'SPOP', 'MGA', 'PIK3CA', 'FGFR2']	1.0
['PPP2R1A', 'KRAS', 'CTNNB1', 'PIK3R1', 'RPL22', 'SPOP', 'CHD4', 'PIK3CA', 'CTCF']	1.0
['PPP2R1A', 'KRAS', 'CTNNB1', 'PIK3R1', 'RPL22', 'SPOP', 'CHD4', 'PIK3CA', 'FGFR2']	1.0
['PPP2R1A', 'KRAS', 'CTNNB1', 'PIK3R1', 'RPL22', 'SPOP', 'CHD4', 'ARID5B', 'FGFR2']	1.0
['PPP2R1A', 'KRAS', 'CTNNB1', 'PIK3R1', 'RPL22', 'SPOP', 'RB1', 'CTCF']	0.9999999999999971
['PPP2R1A', 'KRAS', 'CTNNB1', 'PIK3R1', 'RPL22', 'SPOP', 'EP300', 'PIK3CA', 'FGFR2']	0.9999999999999966
['PPP2R1A', 'KRAS', 'CTNNB1', 'PIK3R1', 'RPL22', 'SPOP', 'TAF1']	0.9999999975956677
['PPP2R1A', 'KRAS', 'CTNNB1', 'PIK3R1', 'RPL22', 'SPOP', 'ERBB2']	0.9999999777831811
['PPP2R1A', 'KRAS', 'CTNNB1', 'PIK3R1', 'RPL22', 'SPOP', 'ARHGAP35', 'CTCF']	1.0
['PPP2R1A', 'KRAS', 'CTNNB1', 'PIK3R1', 'RPL22', 'CACNA1A', 'SOX17']	0.9999983144157756
['PPP2R1A', 'KRAS', 'CTNNB1', 'PIK3R1', 'RPL22', 'SPTAN1']	0.9999926372486982
['PPP2R1A', 'KRAS', 'CTNNB1', 'PIK3R1', 'RPL22', 'CREBBP']	0.9999965235551816
['PPP2R1A', 'KRAS', 'CTNNB1', 'PIK3R1', 'RPL22', 'BRCA2', 'PIK3CA']	0.9999999999999973
['PPP2R1A', 'KRAS', 'CTNNB1', 'PIK3R1', 'RPL22', 'COL5A1', 'FBXW7']	0.9999999987022643
['PPP2R1A', 'KRAS', 'CTNNB1', 'PIK3R1', 'RPL22', 'COL5A1', 'SOX17']	0.9999992488589492
['PPP2R1A', 'KRAS', 'CTNNB1', 'PIK3R1', 'RPL22', 'MSH2']	0.9998959606842999
['PPP2R1A', 'KRAS', 'CTNNB1', 'PIK3R1', 'RPL22', 'POLE']	0.9999399531078392
['PPP2R1A', 'KRAS', 'CTNNB1', 'PIK3R1', 'RPL22', 'MSH6', 'SOX17']	0.9999999946842989
['PPP2R1A', 'KRAS', 'CTNNB1', 'PIK3R1', 'RPL22', 'ATRX', 'SOX17']	0.9999995865091978
['PPP2R1A', 'KRAS', 'CTNNB1', 'PIK3R1', 'RPL22', 'EPHA3']	0.9998493703102871
['PPP2R1A', 'KRAS', 'CTNNB1', 'PIK3R1', 'RPL22', 'MAP3K1', 'SOX17']	0.9999995248880712
['PPP2R1A', 'KRAS', 'CTNNB1', 'PIK3R1', 'RPL22', 'APOB', 'FGFR2', 'PIK3CA']	0.9999999999999976
['PPP2R1A', 'KRAS', 'CTNNB1', 'PIK3R1', 'RPL22', 'APOB', 'FGFR2', 'SOX17']	0.9999999999999928
['PPP2R1A', 'KRAS', 'CTNNB1', 'PIK3R1', 'RPL22', 'PTPRD', 'SOX17']	0.9999997565417467
['PPP2R1A', 'KRAS', 'CTNNB1', 'PIK3R1', 'RPL22', 'POLQ']	0.9999889662828159
['PPP2R1A', 'KRAS', 'CTNNB1', 'PIK3R1', 'NIPBL', 'FGFR2', 'FBXW7']	0.9999999994202335
['PPP2R1A', 'KRAS', 'CTNNB1', 'PIK3R1', 'NIPBL', 'FGFR2', 'SOX17']	0.9999999947278538
['PPP2R1A', 'KRAS', 'CTNNB1', 'PIK3R1', 'CCND1', 'ERBB4']	0.9298623723930782
['PPP2R1A', 'KRAS', 'CTNNB1', 'PIK3R1', 'CCND1', 'ARID5B', 'PGR', 'FBXW7']	0.9999999999891322
['PPP2R1A', 'KRAS', 'CTNNB1', 'PIK3R1', 'CCND1', 'ARID5B', 'PGR', 'SOX17']	0.9999999999803969
['PPP2R1A', 'KRAS', 'CTNNB1', 'PIK3R1', 'CCND1', 'ARID5B', 'PGR', 'CHD4']	0.9999999999999897
['PPP2R1A', 'KRAS', 'CTNNB1', 'PIK3R1', 'CCND1', 'ARID5B', 'SMC1A', 'FBXW7']	0.9999999992558617
['PPP2R1A', 'KRAS', 'CTNNB1', 'PIK3R1', 'CCND1', 'ARID5B', 'INPPL1', 'FGFR2', 'FBXW7']	1.0
['PPP2R1A', 'KRAS', 'CTNNB1', 'PIK3R1', 'CCND1', 'ARID5B', 'INPPL1', 'FGFR2', 'SOX17']	1.0
['PPP2R1A', 'KRAS', 'CTNNB1', 'PIK3R1', 'CCND1', 'ARID5B', 'INPPL1', 'FGFR2', 'CHD4']	1.0
['PPP2R1A', 'KRAS', 'CTNNB1', 'PIK3R1', 'CCND1', 'CACNA1A', 'SOX17']	0.999687494538791
['PPP2R1A', 'KRAS', 'CTNNB1', 'PIK3R1', 'CCND1', 'ZMYM3', 'FGFR2']	0.9999999958288938
['PPP2R1A', 'KRAS', 'CTNNB1', 'PIK3R1', 'CCND1', 'RB1']	0.9779041368237521
['PPP2R1A', 'KRAS', 'CTNNB1', 'PIK3R1', 'CCND1', 'ARHGAP35']	0.9999359176303129
['PPP2R1A', 'KRAS', 'CTNNB1', 'PIK3R1', 'CCND1', 'ERBB2']	0.9521316934505724
['PPP2R1A', 'KRAS', 'CTNNB1', 'PIK3R1', 'CCND1', 'POLE']	0.9969657180976107
['PPP2R1A', 'KRAS', 'CTNNB1', 'PIK3R1', 'PGR', 'COL5A1', 'RNF43', 'FBXW7']	0.9999999999997999
['PPP2R1A', 'KRAS', 'CTNNB1', 'PIK3R1', 'PGR', 'COL5A1', 'RNF43', 'SOX17']	0.9999999999999526
['PPP2R1A', 'KRAS', 'CTNNB1', 'PIK3R1', 'PGR', 'SPOP', 'PLXNB2', 'FBXW7']	0.9999999919747911
['PPP2R1A', 'KRAS', 'CTNNB1', 'PIK3R1', 'PGR', 'SPOP', 'CTCF', 'FBXW7']	0.9999999999999933
['PPP2R1A', 'KRAS', 'CTNNB1', 'PIK3R1', 'PGR', 'SPOP', 'CTCF', 'CHD4']	0.9999999999999959
['PPP2R1A', 'KRAS', 'CTNNB1', 'PIK3R1', 'PGR', 'SPOP', 'RNF43', 'EP300']	0.9999999999999627
['PPP2R1A', 'KRAS', 'CTNNB1', 'PIK3R1', 'PGR', 'SPOP', 'RNF43', 'ARID5B', 'FBXW7']	1.0
['PPP2R1A', 'KRAS', 'CTNNB1', 'PIK3R1', 'PGR', 'SPOP', 'RNF43', 'ARID5B', 'SOX17']	0.999999999999997
