groups	p-value
['TP53', 'KRAS', 'KIF1A', 'DMD']	0.1454249382718291
['TP53', 'KRAS', 'SIN3A']	5.988697292648045e-08
['TP53', 'KRAS', 'CDK12']	5.115530797646002e-07
['TP53', 'KRAS', 'EPHA2']	2.1342023765812865e-08
['TP53', 'KRAS', 'ASXL1']	3.469048606972212e-06
['TP53', 'KRAS', 'CIC']	2.906090127033794e-07
['TP53', 'KRAS', 'ZC3H12A', 'ERBB4']	0.001953300515679002
['TP53', 'KRAS', 'FLNA']	2.765621531403908e-07
['TP53', 'KRAS', 'DHX9']	1.574611841300327e-07
['TP53', 'KRAS', 'FAT1']	0.00018427110505911908
['TP53', 'KRAS', 'ARHGAP35']	1.10972956763341e-05
['TP53', 'KRAS', 'COL5A1']	6.720486099508777e-05
['TP53', 'KRAS', 'LATS1']	2.0777705959396867e-07
['TP53', 'KRAS', 'MYH9']	6.498946602890153e-07
['TP53', 'KRAS', 'MGA']	1.2938112649092418e-06
['TP53', 'KRAS', 'CHD4']	1.2464178946044202e-07
['TP53', 'KRAS', 'CASP8']	2.0959942921516768e-08
['TP53', 'KRAS', 'POLE']	3.6685693874383323e-06
['TP53', 'KRAS', 'ZMYM3']	4.3460802879746145e-08
['TP53', 'KRAS', 'MACF1']	0.0002529886358913293
['TP53', 'KRAS', 'RNF43']	1.7793484605257412e-06
['TP53', 'KRAS', 'CTNND1']	6.927489663316168e-08
['TP53', 'KRAS', 'CDH1', 'ERBB3']	1.2754742519668127e-06
['TP53', 'KRAS', 'BRAF']	9.854755983344885e-08
['TP53', 'KRAS', 'HLA-B']	1.12177409130088e-08
['TP53', 'KRAS', 'BRCA2']	6.762536720909623e-06
['TP53', 'KRAS', 'HUWE1']	1.1878347420958046e-05
['TP53', 'KRAS', 'SPTAN1']	6.828684652192984e-08
['TP53', 'KRAS', 'RPL22']	6.901475293881908e-08
['TP53', 'KRAS', 'ESR1']	4.405045228620313e-08
['TP53', 'KRAS', 'CREBBP']	0.00024646016361362774
['TP53', 'KRAS', 'NSD1']	2.1677957712683107e-07
['TP53', 'KRAS', 'ATM']	3.286951262045333e-06
['TP53', 'KRAS', 'PTCH1']	7.815489879224404e-07
['TP53', 'KRAS', 'PGR']	1.1230010897083194e-06
['TP53', 'KRAS', 'MED12']	1.384617289581234e-07
['TP53', 'KRAS', 'ATR']	1.9230030942389605e-05
['TP53', 'KRAS', 'ERBB2', 'DMD']	0.03222806481762482
['TP53', 'KRAS', 'ERBB2', 'APOB']	0.01993841330944716
['TP53', 'KRAS', 'PTPRC']	6.118865149140064e-07
['TP53', 'KRAS', 'ARID1A']	9.932711160568407e-08
['TP53', 'KRAS', 'KMT2B']	7.817200888097156e-07
['TP53', 'KRAS', 'BCOR', 'SPTA1']	0.030256677026452836
['TP53', 'KRAS', 'RNF111']	8.705615837624196e-08
['TP53', 'KRAS', 'AXIN2']	5.446257064095746e-07
['TP53', 'KRAS', 'DAZAP1']	3.709456543478902e-08
